,Year,Ceftazidim,Ciprofloxacin,Gentamicin
3914,2006,32.0,38.0,24.0
3915,2006,30.0,38.0,24.0
3916,2006,30.0,36.0,25.0
3917,2006,34.0,29.0,25.0
3918,2006,32.0,30.0,24.0
3919,2006,32.0,40.0,24.0
3920,2006,35.0,38.0,28.0
3921,2006,33.0,36.0,24.0
3922,2006,34.0,32.0,23.0
3923,2006,35.0,43.0,24.0
3924,2006,34.0,39.0,26.0
3925,2006,32.0,38.0,23.0
3926,2006,32.0,35.0,24.0
3927,2006,34.0,36.0,24.0
3928,2006,29.0,32.0,22.0
3929,2006,31.0,33.0,24.0
3930,2006,30.0,33.0,23.0
3931,2006,33.0,34.0,22.0
3932,2006,32.0,32.0,25.0
3933,2006,32.0,35.0,24.0
3934,2006,32.0,33.0,25.0
3935,2006,30.0,6.0,25.0
3936,2006,34.0,38.0,25.0
3937,2006,36.0,42.0,27.0
3938,2006,35.0,32.0,25.0
3939,2006,34.0,36.0,25.0
3940,2006,35.0,35.0,25.0
3941,2006,32.0,34.0,25.0
3942,2006,34.0,36.0,25.0
3943,2006,34.0,34.0,26.0
3944,2006,32.0,36.0,24.0
3945,2006,34.0,38.0,22.0
3946,2006,34.0,37.0,24.0
3947,2006,33.0,36.0,25.0
3948,2006,34.0,35.0,24.0
3949,2006,32.0,34.0,23.0
3950,2006,30.0,35.0,25.0
3951,2006,32.0,35.0,24.0
3952,2006,30.0,35.0,25.0
3953,2006,34.0,33.0,24.0
3954,2006,35.0,40.0,28.0
3955,2006,35.0,37.0,25.0
3956,2006,23.0,27.0,25.0
3957,2006,31.0,7.0,18.0
3958,2006,30.0,7.0,25.0
3959,2006,35.0,36.0,25.0
3960,2006,33.0,35.0,23.0
3961,2006,32.0,31.0,25.0
3962,2006,35.0,37.0,25.0
3963,2006,34.0,36.0,24.0
3964,2006,34.0,34.0,25.0
3965,2006,36.0,37.0,27.0
3966,2006,34.0,34.0,25.0
3967,2006,34.0,36.0,26.0
3968,2006,32.0,36.0,25.0
3969,2006,38.0,38.0,26.0
3970,2006,35.0,36.0,25.0
3971,2006,34.0,34.0,24.0
3972,2006,33.0,34.0,24.0
3973,2006,34.0,36.0,24.0
3974,2006,32.0,33.0,22.0
3975,2006,32.0,33.0,21.0
3976,2006,33.0,36.0,23.0
3977,2006,36.0,36.0,24.0
3978,2006,32.0,35.0,24.0
3979,2006,34.0,36.0,24.0
3980,2006,34.0,35.0,24.0
3981,2006,33.0,34.0,23.0
3982,2006,32.0,35.0,24.0
3983,2006,31.0,6.0,16.0
3984,2006,35.0,36.0,25.0
3985,2006,34.0,36.0,24.0
3986,2006,30.0,25.0,24.0
3987,2006,33.0,32.0,23.0
3988,2006,31.0,33.0,24.0
3989,2006,30.0,34.0,24.0
3990,2006,32.0,33.0,23.0
3991,2006,30.0,33.0,21.0
3992,2006,33.0,11.0,26.0
3993,2006,32.0,35.0,26.0
4000,2006,36.0,33.0,24.0
4005,2006,32.0,32.0,23.0
4006,2006,30.0,45.0,6.0
