,Ceftazidim,Ciprofloxacin,Gentamicin
5913,30.0,40.0,28.0
5914,28.0,37.0,28.0
5915,32.0,45.0,30.0
5916,32.0,37.0,27.0
5917,32.0,38.0,30.0
5918,30.0,36.0,28.0
5919,29.0,36.0,28.0
5920,30.0,37.0,28.0
5921,29.0,34.0,29.0
5922,30.0,35.0,28.0
5923,30.0,30.0,28.0
5924,32.0,38.0,28.0
5925,32.0,38.0,28.0
5926,32.0,38.0,28.0
5927,30.0,38.0,28.0
5928,32.0,36.0,28.0
5929,30.0,36.0,28.0
5930,34.0,36.0,28.0
5931,31.0,39.0,30.0
5932,32.0,40.0,28.0
5933,34.0,30.0,30.0
5934,34.0,38.0,30.0
5935,32.0,38.0,28.0
5936,32.0,28.0,28.0
5937,32.0,38.0,27.0
5938,32.0,36.0,30.0
5939,30.0,36.0,28.0
5940,32.0,39.0,30.0
5941,32.0,39.0,30.0
5942,33.0,38.0,29.0
5943,32.0,38.0,30.0
5944,32.0,38.0,28.0
5945,30.0,38.0,30.0
5946,35.0,40.0,28.0
5947,33.0,39.0,30.0
5948,32.0,38.0,30.0
5949,32.0,23.0,19.0
5950,34.0,40.0,29.0
5951,32.0,32.0,26.0
5952,38.0,36.0,26.0
5953,36.0,38.0,26.0
5954,32.0,34.0,25.0
5955,40.0,36.0,28.0
5956,38.0,40.0,26.0
5957,36.0,35.0,26.0
5958,32.0,36.0,26.0
5959,34.0,40.0,26.0
5960,38.0,38.0,26.0
5961,32.0,35.0,26.0
5962,35.0,34.0,26.0
5963,34.0,36.0,24.0
5964,34.0,32.0,24.0
5965,32.0,34.0,26.0
5966,34.0,32.0,24.0
5967,36.0,35.0,25.0
5968,34.0,42.0,24.0
5969,32.0,42.0,26.0
5970,36.0,36.0,26.0
5971,36.0,36.0,24.0
5972,34.0,36.0,26.0
5973,36.0,34.0,24.0
5974,36.0,34.0,26.0
5975,38.0,34.0,26.0
5976,34.0,36.0,24.0
5977,34.0,36.0,24.0
5978,38.0,36.0,24.0
5979,34.0,34.0,26.0
5980,34.0,36.0,26.0
5981,34.0,36.0,24.0
5982,36.0,42.0,24.0
5983,34.0,38.0,26.0
5984,36.0,37.0,26.0
5985,32.0,36.0,26.0
5986,38.0,38.0,26.0
5987,36.0,38.0,24.0
5988,38.0,39.0,22.0
5989,36.0,39.0,27.0
5990,36.0,39.0,26.0
5991,34.0,35.0,28.0
5992,32.0,36.0,25.0
5993,39.0,38.0,27.0
5994,32.0,35.0,26.0
5995,34.0,35.0,24.0
5996,36.0,40.0,28.0
5997,32.0,40.0,26.0
5998,34.0,40.0,26.0
5999,36.0,36.0,25.0
6000,31.0,35.0,24.0
6001,35.0,37.0,24.0
6002,32.0,38.0,20.0
6003,30.0,35.0,21.0
6004,38.0,40.0,25.0
6005,35.0,36.0,25.0
6006,34.0,36.0,25.0
6007,33.0,35.0,24.0
6008,34.0,36.0,26.0
6009,34.0,37.0,25.0
6010,38.0,37.0,26.0
6011,34.0,35.0,24.0
6012,33.0,33.0,27.0
6013,36.0,37.0,27.0
6014,32.0,34.0,26.0
6015,33.0,37.0,25.0
6016,33.0,27.0,25.0
6017,40.0,40.0,27.0
6018,36.0,37.0,27.0
6019,37.0,36.0,26.0
6020,36.0,40.0,26.0
6021,35.0,40.0,26.0
6022,36.0,36.0,26.0
6023,36.0,32.0,26.0
6024,34.0,35.0,24.0
6025,37.0,41.0,25.0
6026,33.0,36.0,24.0
6027,34.0,38.0,25.0
6028,34.0,35.0,25.0
6029,29.0,32.0,22.0
6030,35.0,39.0,24.0
6031,33.0,39.0,24.0
6032,34.0,37.0,24.0
6033,33.0,35.0,24.0
6034,34.0,36.0,26.0
6035,32.0,26.0,24.0
6036,36.0,40.0,28.0
6037,35.0,37.0,25.0
6038,31.0,35.0,25.0
6039,32.0,36.0,25.0
6040,32.0,10.0,25.0
6041,34.0,34.0,25.0
6042,35.0,36.0,26.0
6043,36.0,41.0,25.0
6044,36.0,36.0,25.0
6045,35.0,36.0,24.0
6046,33.0,6.0,27.0
6047,38.0,39.0,29.0
6048,33.0,34.0,26.0
6049,36.0,36.0,26.0
6050,35.0,32.0,9.0
6051,34.0,33.0,23.0
6052,33.0,32.0,23.0
6053,33.0,32.0,23.0
6054,32.0,34.0,26.0
6055,32.0,30.0,23.0
6056,31.0,34.0,19.0
6057,37.0,34.0,22.0
6058,34.0,35.0,26.0
6059,34.0,35.0,23.0
6060,31.0,33.0,24.0
6061,35.0,42.0,26.0
6062,34.0,32.0,23.0
6063,32.0,28.0,19.0
6064,33.0,31.0,25.0
6065,32.0,28.0,26.0
6066,31.0,35.0,25.0
6067,31.0,30.0,24.0
6068,36.0,36.0,25.0
6069,35.0,30.0,24.0
6070,34.0,35.0,26.0
6071,32.0,30.0,22.0
6072,34.0,28.0,25.0
6073,35.0,34.0,25.0
6074,31.0,33.0,22.0
6075,32.0,30.0,24.0
6076,30.0,32.0,25.0
6077,32.0,33.0,25.0
6078,34.0,33.0,24.0
6079,36.0,34.0,24.0
6080,31.0,36.0,23.0
6081,33.0,32.0,33.0
6082,30.0,32.0,22.0
6083,28.0,35.0,24.0
6084,34.0,36.0,25.0
6085,34.0,34.0,27.0
6086,34.0,36.0,26.0
6087,33.0,35.0,26.0
6088,32.0,34.0,25.0
6089,32.0,34.0,25.0
6090,34.0,36.0,26.0
6091,39.0,36.0,9.0
6092,32.0,35.0,24.0
6093,32.0,33.0,23.0
6094,32.0,33.0,23.0
6095,36.0,36.0,25.0
6096,32.0,34.0,25.0
6097,34.0,34.0,25.0
6098,35.0,36.0,25.0
6099,34.0,38.0,24.0
6100,34.0,36.0,25.0
6101,32.0,30.0,24.0
6102,36.0,36.0,24.0
6103,30.0,32.0,22.0
6104,28.0,28.0,20.0
6105,28.0,30.0,20.0
6106,34.0,34.0,24.0
6107,32.0,34.0,22.0
6108,32.0,32.0,24.0
6109,32.0,32.0,24.0
6110,30.0,32.0,22.0
6111,30.0,34.0,22.0
6112,36.0,28.0,22.0
6113,30.0,32.0,22.0
6114,30.0,32.0,22.0
6115,32.0,32.0,22.0
6116,30.0,32.0,22.0
6117,30.0,32.0,24.0
6118,30.0,32.0,24.0
6119,30.0,32.0,24.0
6120,28.0,32.0,22.0
6121,32.0,32.0,22.0
6122,32.0,32.0,26.0
6123,32.0,32.0,22.0
6124,34.0,36.0,26.0
6125,34.0,34.0,24.0
6126,32.0,34.0,22.0
6127,34.0,32.0,20.0
6128,34.0,25.0,6.0
6129,32.0,28.0,6.0
6130,34.0,36.0,22.0
6131,32.0,32.0,24.0
6132,34.0,32.0,24.0
6133,32.0,34.0,32.0
6134,32.0,34.0,24.0
6135,32.0,32.0,26.0
6136,34.0,32.0,24.0
6137,38.0,32.0,24.0
6138,28.0,32.0,22.0
6139,30.0,32.0,22.0
6140,32.0,32.0,22.0
6141,32.0,24.0,20.0
6142,30.0,32.0,22.0
6143,28.0,32.0,22.0
6144,32.0,30.0,24.0
6145,28.0,30.0,22.0
6146,32.0,30.0,22.0
6147,32.0,26.0,24.0
6148,32.0,34.0,22.0
6149,32.0,37.0,26.0
6150,34.0,38.0,26.0
6151,28.0,38.0,21.0
6152,32.0,38.0,21.0
6153,33.0,38.0,28.0
6154,32.0,36.0,22.0
6155,34.0,38.0,26.0
6156,32.0,38.0,26.0
6157,32.0,38.0,21.0
6158,32.0,40.0,22.0
6159,31.0,36.0,25.0
6160,32.0,38.0,26.0
6161,34.0,38.0,27.0
6162,33.0,38.0,26.0
6163,33.0,38.0,21.0
6164,36.0,42.0,25.0
6165,34.0,36.0,23.0
6166,32.0,38.0,22.0
6167,36.0,40.0,26.0
6168,32.0,36.0,24.0
6169,33.0,36.0,26.0
6170,34.0,14.0,26.0
6171,30.0,36.0,24.0
6172,32.0,36.0,26.0
6173,34.0,40.0,26.0
6174,32.0,36.0,26.0
6175,34.0,44.0,26.0
6176,32.0,36.0,28.0
6177,33.0,40.0,24.0
6178,33.0,40.0,27.0
6179,30.0,38.0,26.0
6180,32.0,38.0,26.0
6181,33.0,36.0,26.0
6182,32.0,40.0,26.0
6183,31.0,36.0,26.0
6184,33.0,38.0,26.0
6185,31.0,36.0,24.0
6186,31.0,42.0,30.0
6187,31.0,42.0,30.0
6188,34.0,40.0,26.0
6189,31.0,40.0,27.0
6190,34.0,38.0,26.0
6191,31.0,32.0,26.0
6192,34.0,38.0,26.0
6193,31.0,36.0,26.0
6194,34.0,38.0,26.0
6195,33.0,36.0,25.0
6196,33.0,42.0,25.0
6197,32.0,40.0,26.0
6198,30.0,42.0,26.0
6199,35.0,40.0,26.0
6200,28.0,6.0,25.0
6201,32.0,36.0,26.0
6202,32.0,37.0,28.0
6203,29.0,36.0,26.0
6204,45.0,45.0,45.0
6205,31.0,39.0,27.0
6206,27.0,35.0,25.0
6207,28.0,39.0,24.0
6208,28.0,33.0,25.0
6209,30.0,35.0,27.0
6210,32.0,37.0,26.0
6211,28.0,34.0,27.0
6212,30.0,36.0,25.0
6213,29.0,35.0,26.0
6214,28.0,36.0,36.0
6215,30.0,37.0,26.0
6216,24.0,36.0,25.0
6217,28.0,35.0,26.0
6218,33.0,38.0,29.0
6219,30.0,37.0,27.0
6220,30.0,36.0,16.0
6221,30.0,38.0,26.0
6222,32.0,27.0,25.0
6223,32.0,34.0,27.0
6224,30.0,39.0,27.0
6225,31.0,36.0,26.0
6226,30.0,40.0,28.0
6227,30.0,36.0,28.0
6228,32.0,40.0,26.0
6229,31.0,40.0,28.0
6230,32.0,38.0,28.0
6231,32.0,34.0,26.0
6232,30.0,38.0,26.0
6233,34.0,44.0,26.0
6234,34.0,40.0,27.0
6235,32.0,36.0,27.0
6236,30.0,36.0,27.0
6237,32.0,36.0,27.0
6238,29.0,36.0,29.0
6239,32.0,40.0,28.0
6240,29.0,38.0,26.0
6241,32.0,38.0,29.0
6242,32.0,40.0,28.0
6243,34.0,38.0,27.0
6244,33.0,40.0,27.0
6245,33.0,40.0,27.0
6246,36.0,40.0,38.0
6247,36.0,42.0,28.0
6248,31.0,38.0,27.0
6249,32.0,38.0,29.0
6250,31.0,38.0,38.0
6251,31.0,38.0,27.0
6252,32.0,38.0,27.0
6253,32.0,33.0,24.0
6254,32.0,33.0,24.0
6255,33.0,35.0,24.0
6256,31.0,33.0,24.0
6257,32.0,38.0,25.0
6258,30.0,34.0,23.0
6259,33.0,36.0,24.0
6260,34.0,38.0,25.0
6261,32.0,34.0,23.0
6262,32.0,36.0,24.0
6263,30.0,6.0,8.0
6264,31.0,34.0,24.0
6265,30.0,34.0,24.0
6266,33.0,40.0,25.0
6267,32.0,34.0,25.0
6268,34.0,37.0,25.0
6269,35.0,39.0,26.0
6270,32.0,36.0,26.0
6271,35.0,30.0,26.0
6272,35.0,38.0,24.0
6273,34.0,36.0,22.0
6274,31.0,35.0,23.0
6275,32.0,33.0,23.0
6276,32.0,34.0,23.0
6277,31.0,38.0,24.0
6278,29.0,33.0,23.0
6279,28.0,31.0,24.0
6280,34.0,37.0,26.0
6281,30.0,37.0,24.0
6282,34.0,36.0,25.0
6283,29.0,33.0,22.0
6284,31.0,33.0,25.0
6285,32.0,35.0,24.0
6286,30.0,35.0,22.0
6287,30.0,35.0,23.0
6288,30.0,33.0,23.0
6289,29.0,33.0,23.0
6290,32.0,26.0,24.0
6291,29.0,34.0,23.0
6292,32.0,33.0,24.0
6293,27.0,34.0,22.0
6294,35.0,35.0,24.0
6295,30.0,27.0,24.0
6296,30.0,34.0,24.0
6297,29.0,35.0,22.0
6298,31.0,32.0,23.0
6299,32.0,33.0,23.0
6300,30.0,34.0,25.0
6301,30.0,32.0,23.0
6302,30.0,33.0,25.0
6303,31.0,27.0,23.0
6304,32.0,30.0,23.0
6305,32.0,31.0,23.0
6306,31.0,31.0,22.0
6307,42.0,33.0,26.0
6308,34.0,28.0,25.0
6309,36.0,29.0,26.0
6310,36.0,30.0,24.0
6311,30.0,28.0,25.0
6312,28.0,27.0,22.0
6313,32.0,30.0,24.0
6314,33.0,30.0,26.0
6315,29.0,26.0,24.0
6316,31.0,30.0,23.0
6317,34.0,30.0,22.0
6318,32.0,32.0,23.0
6319,38.0,35.0,25.0
6320,30.0,29.0,24.0
6321,32.0,32.0,24.0
6322,30.0,30.0,24.0
6323,33.0,36.0,22.0
6324,31.0,30.0,24.0
6325,34.0,33.0,26.0
6326,38.0,37.0,26.0
6327,35.0,32.0,22.0
6328,35.0,32.0,26.0
6329,34.0,30.0,25.0
6330,36.0,31.0,28.0
6331,35.0,31.0,24.0
6332,36.0,23.0,25.0
6333,33.0,27.0,25.0
6334,39.0,34.0,26.0
6335,42.0,31.0,25.0
6336,33.0,31.0,24.0
6337,30.0,32.0,25.0
6338,32.0,30.0,21.0
6339,32.0,30.0,25.0
6340,33.0,33.0,24.0
6341,26.0,35.0,20.0
6342,24.0,32.0,20.0
6343,26.0,30.0,22.0
6344,32.0,32.0,23.0
6345,32.0,33.0,24.0
6346,27.0,30.0,24.0
6347,33.0,28.0,24.0
6348,31.0,31.0,24.0
6349,31.0,32.0,25.0
6350,28.0,30.0,22.0
6351,34.0,33.0,26.0
6352,26.0,11.0,22.0
6353,33.0,30.0,24.0
6354,36.0,31.0,25.0
6355,36.0,31.0,18.0
6356,25.0,6.0,6.0
6357,35.0,36.0,26.0
6358,35.0,30.0,24.0
6359,30.0,30.0,22.0
6360,30.0,34.0,24.0
6361,30.0,34.0,22.0
6362,34.0,34.0,24.0
6363,30.0,34.0,22.0
6364,32.0,32.0,26.0
6365,28.0,30.0,20.0
6366,30.0,34.0,22.0
6367,28.0,32.0,20.0
6368,31.0,30.0,23.0
6369,34.0,34.0,24.0
6370,32.0,31.0,26.0
6371,36.0,40.0,26.0
6372,30.0,30.0,24.0
6373,30.0,31.0,22.0
6374,30.0,31.0,20.0
6375,30.0,33.0,24.0
6376,30.0,32.0,25.0
6377,36.0,40.0,28.0
6378,33.0,34.0,25.0
6379,36.0,35.0,26.0
6380,34.0,36.0,24.0
6381,34.0,34.0,26.0
6382,32.0,6.0,6.0
6383,17.0,6.0,6.0
6384,36.0,6.0,25.0
6385,34.0,34.0,25.0
6386,34.0,34.0,24.0
6387,31.0,23.0,24.0
6388,30.0,31.0,24.0
6389,33.0,35.0,25.0
6390,30.0,31.0,24.0
6391,32.0,31.0,26.0
6392,30.0,32.0,26.0
6393,30.0,31.0,26.0
6394,32.0,32.0,26.0
6395,30.0,34.0,24.0
6396,32.0,30.0,25.0
6397,35.0,34.0,24.0
6398,30.0,6.0,25.0
6399,30.0,24.0,24.0
6400,30.0,30.0,22.0
6401,30.0,32.0,22.0
6402,30.0,30.0,24.0
6403,32.0,34.0,24.0
6404,32.0,33.0,26.0
6405,30.0,31.0,24.0
6406,31.0,34.0,26.0
6407,34.0,34.0,22.0
6408,28.0,30.0,23.0
6409,34.0,34.0,27.0
6410,30.0,31.0,24.0
6411,34.0,36.0,25.0
6412,30.0,29.0,22.0
6413,28.0,29.0,22.0
6414,28.0,28.0,24.0
6415,31.0,7.0,23.0
6416,30.0,31.0,22.0
6417,36.0,32.0,24.0
6418,30.0,35.0,24.0
6419,29.0,32.0,22.0
6420,31.0,32.0,23.0
6421,28.0,28.0,23.0
6422,30.0,33.0,22.0
6423,32.0,33.0,23.0
6424,28.0,30.0,23.0
6425,29.0,30.0,23.0
6426,31.0,31.0,22.0
6427,32.0,29.0,23.0
6428,32.0,34.0,24.0
6429,34.0,24.0,25.0
6430,33.0,35.0,24.0
6431,31.0,32.0,24.0
6432,28.0,31.0,21.0
6433,29.0,31.0,24.0
6434,31.0,33.0,22.0
6435,30.0,32.0,23.0
6436,31.0,32.0,25.0
6437,28.0,30.0,23.0
6438,32.0,30.0,24.0
6439,32.0,30.0,23.0
6440,32.0,35.0,25.0
6441,27.0,30.0,23.0
6442,34.0,34.0,25.0
6443,32.0,31.0,22.0
6444,32.0,35.0,26.0
6445,32.0,31.0,18.0
6446,40.0,39.0,26.0
6447,31.0,33.0,23.0
6448,34.0,37.0,26.0
6449,30.0,32.0,23.0
6450,31.0,31.0,24.0
6451,31.0,31.0,23.0
6452,30.0,31.0,24.0
6453,32.0,32.0,24.0
6454,31.0,32.0,22.0
6455,31.0,35.0,20.0
6456,38.0,6.0,28.0
6457,34.0,33.0,25.0
6458,31.0,34.0,27.0
6459,28.0,34.0,27.0
6460,29.0,36.0,25.0
6461,28.0,32.0,28.0
6462,30.0,34.0,27.0
6463,28.0,34.0,28.0
6464,28.0,34.0,26.0
6465,28.0,34.0,28.0
6466,28.0,33.0,26.0
6467,33.0,38.0,29.0
6468,30.0,34.0,26.0
6469,30.0,35.0,27.0
6470,30.0,38.0,28.0
6471,29.0,38.0,27.0
6472,28.0,33.0,26.0
6473,31.0,36.0,28.0
6474,29.0,35.0,26.0
6475,28.0,37.0,27.0
6476,29.0,34.0,28.0
6477,28.0,34.0,26.0
6478,29.0,34.0,26.0
6479,28.0,35.0,26.0
6480,28.0,35.0,26.0
6481,26.0,33.0,27.0
6482,27.0,33.0,26.0
6483,28.0,34.0,27.0
6484,29.0,32.0,27.0
6485,30.0,32.0,26.0
6486,28.0,24.0,26.0
6487,30.0,34.0,24.0
6488,27.0,32.0,25.0
6489,28.0,33.0,26.0
6490,28.0,33.0,26.0
6491,30.0,34.0,26.0
6492,30.0,34.0,27.0
6493,28.0,23.0,11.0
6494,29.0,35.0,27.0
6495,28.0,34.0,27.0
6496,36.0,40.0,28.0
6497,29.0,37.0,27.0
6498,27.0,32.0,25.0
6499,28.0,35.0,26.0
6500,28.0,32.0,27.0
6501,28.0,38.0,26.0
6502,36.0,41.0,28.0
6503,29.0,33.0,26.0
6504,29.0,36.0,25.0
6505,28.0,32.0,27.0
6506,30.0,36.0,25.0
6507,28.0,32.0,26.0
6508,31.0,36.0,26.0
6509,28.0,30.0,28.0
6510,32.0,40.0,27.0
6511,33.0,40.0,25.0
6512,35.0,42.0,26.0
6513,32.0,39.0,28.0
6514,30.0,38.0,27.0
6515,33.0,39.0,27.0
6516,34.0,40.0,28.0
6517,32.0,39.0,28.0
6518,33.0,38.0,31.0
6519,32.0,40.0,28.0
6520,30.0,38.0,27.0
6521,34.0,38.0,27.0
6522,34.0,40.0,26.0
6523,30.0,38.0,27.0
6524,32.0,39.0,29.0
6525,34.0,40.0,27.0
6526,30.0,37.0,26.0
6527,31.0,37.0,27.0
6528,30.0,40.0,28.0
6529,30.0,37.0,27.0
6530,30.0,36.0,27.0
6531,33.0,41.0,29.0
6532,30.0,38.0,27.0
6533,28.0,36.0,28.0
6534,28.0,33.0,29.0
6535,30.0,38.0,26.0
6536,28.0,34.0,28.0
6537,28.0,37.0,29.0
6538,29.0,31.0,26.0
6539,31.0,36.0,28.0
6540,30.0,36.0,26.0
6541,30.0,38.0,29.0
6542,31.0,37.0,27.0
6543,32.0,38.0,28.0
6544,30.0,28.0,27.0
6545,30.0,35.0,28.0
6546,28.0,36.0,27.0
6547,32.0,38.0,27.0
6548,30.0,37.0,33.0
6549,35.0,39.0,31.0
6550,30.0,40.0,30.0
6551,30.0,39.0,27.0
6552,28.0,40.0,27.0
6553,30.0,38.0,25.0
6554,33.0,36.0,27.0
6555,32.0,39.0,27.0
6556,33.0,38.0,27.0
6557,32.0,40.0,31.0
6558,28.0,28.0,18.0
6559,30.0,34.0,21.0
6560,28.0,28.0,18.0
6561,30.0,32.0,23.0
6562,28.0,30.0,16.0
6563,30.0,31.0,19.0
6564,31.0,31.0,20.0
6565,28.0,29.0,17.0
6566,30.0,30.0,19.0
6567,27.0,27.0,18.0
6568,28.0,29.0,20.0
6569,32.0,32.0,19.0
6570,33.0,33.0,26.0
6571,27.0,29.0,19.0
6572,30.0,28.0,21.0
6573,31.0,30.0,20.0
6574,32.0,32.0,20.0
6575,35.0,28.0,6.0
6576,32.0,30.0,18.0
6577,30.0,32.0,19.0
6578,30.0,24.0,21.0
6579,31.0,33.0,24.0
6580,31.0,33.0,23.0
6581,32.0,36.0,22.0
6582,33.0,31.0,19.0
6583,29.0,29.0,21.0
6584,33.0,30.0,19.0
6585,33.0,33.0,23.0
6586,29.0,31.0,23.0
6587,29.0,32.0,24.0
6588,32.0,33.0,22.0
6589,30.0,31.0,25.0
6590,35.0,33.0,23.0
6591,32.0,33.0,23.0
6592,33.0,32.0,25.0
6593,31.0,31.0,24.0
6594,33.0,33.0,24.0
6595,33.0,32.0,23.0
6596,31.0,32.0,24.0
6597,31.0,33.0,23.0
6598,33.0,31.0,22.0
6599,32.0,32.0,24.0
6600,32.0,33.0,25.0
6601,32.0,6.0,24.0
6602,36.0,35.0,27.0
6603,32.0,34.0,24.0
6604,30.0,31.0,23.0
6605,32.0,31.0,23.0
6606,32.0,26.0,26.0
6607,31.0,23.0,24.0
6608,31.0,23.0,24.0
6609,31.0,26.0,23.0
6610,31.0,23.0,24.0
6611,32.0,41.0,28.0
6612,31.0,37.0,28.0
6613,31.0,38.0,29.0
6614,32.0,39.0,28.0
6615,32.0,39.0,28.0
6616,31.0,37.0,29.0
6617,34.0,37.0,28.0
6618,39.0,44.0,33.0
6619,32.0,37.0,28.0
6620,32.0,36.0,27.0
6621,33.0,38.0,27.0
